epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,19643.2,1.01988,1.08915,1.18677,0.69625,0.52981,0.60607,0.43572,1.22487,1.21934,1.26596,0.0012905,0.0012905,0.0012905
45,19811.7,0.93366,0.9548,1.21277,0.73103,0.62809,0.68491,0.49057,1.16473,1.19307,1.27786,0.001274,0.001274,0.001274
46,19972.9,1.0839,1.37066,1.13222,0.65844,0.61538,0.70487,0.52229,1.05642,1.07645,1.27847,0.0012575,0.0012575,0.0012575
47,20133.3,0.95663,1.06098,1.27036,0.97005,0.46154,0.61859,0.46981,1.07397,1.24512,1.26207,0.001241,0.001241,0.001241
48,20301,1.07208,1.16362,1.24549,0.978,0.46154,0.62247,0.47173,1.07586,1.31811,1.23668,0.0012245,0.0012245,0.0012245
49,20461.8,1.00388,0.91509,1.1898,0.70974,0.61538,0.6233,0.48937,0.90833,1.28372,1.11656,0.001208,0.001208,0.001208
50,20626.5,1.08696,1.03907,1.24415,0.72311,0.60365,0.61406,0.45802,0.96456,1.17135,1.09711,0.0011915,0.0011915,0.0011915
51,20784.5,0.85194,0.98818,1.09441,0.72625,0.61251,0.63035,0.47845,1.01933,1.20446,1.10594,0.001175,0.001175,0.001175
52,20944.1,0.81669,0.92272,1.08724,0.9445,0.46154,0.60157,0.4563,1.02238,1.0932,1.1188,0.0011585,0.0011585,0.0011585
53,21113.7,0.86302,1.02063,1.16401,0.59346,0.61538,0.50238,0.38685,1.06824,1.10524,1.13217,0.001142,0.001142,0.001142
54,21279.8,0.79857,0.84928,1.12571,0.60813,0.61538,0.62446,0.47972,1.26779,1.0389,1.23037,0.0011255,0.0011255,0.0011255
55,21445,0.87876,0.84462,1.08727,0.77674,0.53559,0.6099,0.47742,1.37196,1.00312,1.36312,0.001109,0.001109,0.001109
56,21611.8,0.85963,0.79171,1.12976,0.69085,0.53846,0.67822,0.48277,1.32645,0.9832,1.34404,0.0010925,0.0010925,0.0010925
57,21771.7,0.95148,0.81957,1.19415,0.81814,0.69231,0.7454,0.50515,1.18669,0.9404,1.26663,0.001076,0.001076,0.001076
58,21937.9,0.83051,0.80884,1.12733,0.79794,0.69231,0.74756,0.54021,1.06661,0.88342,1.19573,0.0010595,0.0010595,0.0010595
59,22103.1,0.74679,0.79682,1.04833,0.81736,0.68883,0.7713,0.57507,1.00144,0.81839,1.17855,0.001043,0.001043,0.001043
60,22269.8,0.72832,0.68613,1.07416,0.81147,0.66389,0.73941,0.55558,1.07331,0.96256,1.2303,0.0010265,0.0010265,0.0010265
